edad_categoria,nivel_educacion,rango_ingreso,tipo_donante,frecuencia_donacion,canal_donacion,participacion_eventos,voluntariado,años_como_donante,monto_ultima_donacion,confianza_financiera,confianza_mision,confianza_transparencia,confianza_liderazgo,satisfaccion_comunicacion,satisfaccion_impacto,satisfaccion_reconocimiento,satisfaccion_general,satisfaccion_transparencia,conexion_emocional,identificacion_mision,orgullo_donante,compromiso_futuro,percepcion_impacto,percepcion_eficacia,donara_proximo_año
36-45,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,6,53000,8,5,10,1,9,1,6,6,1,10,8,1,8,10,9,No
66+,Universitario,<500k,Empresa,Trimestral,Web,Nunca,No,5,10079000,7,4,10,10,3,10,6,1,1,1,8,3,10,3,9,No
46-55,Universitario,2M-4M,Individual,Semestral,Presencial,2-3 veces,Sí,0,141000,5,10,5,10,8,5,7,5,8,3,9,7,10,5,8,No
46-55,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,28000,8,4,1,10,3,9,5,5,10,8,5,6,4,5,7,No
26-35,Universitario,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,374000,6,2,1,10,6,10,3,7,9,7,6,9,1,4,6,Sí
26-35,Universitario,1M-2M,Empresa,Primera vez,Teletón anual,2-3 veces,No,0,315000,5,10,1,7,5,1,5,9,10,5,5,1,10,9,9,No
18-25,Universitario,500k-1M,Empresa,Anual,Transferencia,Nunca,No,6,858000,8,10,4,1,8,9,7,9,10,8,7,10,9,10,10,No
56-65,Universitario,1M-2M,Individual,Anual,Presencial,Nunca,No,1,9000,10,5,10,5,7,9,6,10,2,1,10,10,10,8,10,Sí
46-55,Técnico,<500k,Individual,Semestral,Teletón anual,Nunca,No,5,209000,10,1,10,1,10,10,8,3,5,9,9,10,2,6,10,No
46-55,Universitario,500k-1M,Individual,Primera vez,Web,Nunca,No,0,112000,8,1,9,9,5,3,8,6,10,8,4,4,10,9,5,No
18-25,Técnico,<500k,Individual,Primera vez,Teletón anual,1 vez,No,0,6000,7,2,3,10,7,7,6,7,5,6,5,8,1,3,10,No
66+,Postgrado,<500k,Individual,Anual,Transferencia,1 vez,Sí,3,1293000,8,5,5,8,7,5,7,2,10,9,8,9,9,10,4,No
56-65,Postgrado,2M-4M,Individual,Semestral,Web,4+,No,5,46000,3,10,10,9,4,10,3,10,1,9,6,10,1,6,6,No
26-35,Secundaria,<500k,Individual,Primera vez,Web,Nunca,No,0,17000,5,10,7,1,4,1,5,5,7,6,5,6,4,6,5,Sí
26-35,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,5,9000,7,10,1,6,7,8,9,10,10,1,10,10,10,6,9,Sí
26-35,Postgrado,500k-1M,Individual,Primera vez,Teletón anual,1 vez,Sí,0,38000,3,10,3,10,8,1,5,5,6,10,5,10,6,4,6,No
36-45,Técnico,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,3,43000,5,7,7,10,8,7,6,6,10,10,9,4,7,10,6,No
36-45,Universitario,2M-4M,Individual,Trimestral,Teletón anual,Nunca,No,4,57000,4,10,6,1,5,1,10,10,10,2,10,10,8,9,2,No
36-45,Postgrado,<500k,Individual,Anual,Web,Nunca,No,3,35000,7,10,8,8,7,1,10,10,7,7,6,3,10,10,7,No
26-35,Secundaria,1M-2M,Empresa,Primera vez,Presencial,Nunca,No,0,1126000,8,8,4,1,10,9,7,3,10,6,5,9,7,4,3,No
46-55,Universitario,2M-4M,Individual,Anual,Transferencia,Nunca,No,3,107000,9,10,4,4,7,4,9,10,7,10,7,10,10,8,5,No
26-35,Técnico,500k-1M,Individual,Primera vez,Web,2-3 veces,Sí,0,31000,7,6,10,1,5,2,2,7,3,3,5,7,7,7,10,No
26-35,Postgrado,2M-4M,Individual,Semestral,Otro,2-3 veces,Sí,7,5000,6,10,3,3,8,10,5,10,9,8,8,10,1,8,10,No
36-45,Postgrado,<500k,Individual,Trimestral,Transferencia,Nunca,No,2,42000,4,10,10,10,9,9,6,7,6,2,7,10,10,5,10,Sí
36-45,Postgrado,500k-1M,Individual,Semestral,Otro,Nunca,No,1,3000,4,10,5,8,6,10,7,6,10,6,8,9,7,9,8,Sí
56-65,Universitario,500k-1M,Individual,Trimestral,Web,Nunca,No,2,76000,5,9,8,8,8,6,6,5,7,5,10,9,2,8,5,No
26-35,Universitario,1M-2M,Empresa,Anual,Teletón anual,2-3 veces,No,8,111000,6,10,7,7,6,10,2,5,10,7,9,7,9,5,7,Sí
36-45,Universitario,4M+,Individual,Primera vez,Teletón anual,Nunca,Sí,0,15000,6,10,5,8,7,5,7,6,10,7,7,7,5,3,8,No
46-55,Técnico,500k-1M,Individual,Semestral,Transferencia,1 vez,No,3,61000,6,10,8,7,7,10,8,6,10,7,4,8,10,8,2,Sí
18-25,Universitario,1M-2M,Individual,Anual,Teletón anual,Nunca,No,7,242000,8,10,7,4,8,5,10,6,5,9,8,8,3,10,7,No
46-55,Secundaria,<500k,Individual,Semestral,Teletón anual,Nunca,No,2,16000,7,6,5,10,5,3,5,8,7,7,10,4,10,5,8,No
26-35,Universitario,500k-1M,Individual,Primera vez,Web,Nunca,No,0,179000,6,10,1,10,4,9,4,10,7,10,1,6,1,7,4,No
18-25,Técnico,500k-1M,Empresa,Primera vez,Web,1 vez,No,0,139000,8,1,10,7,8,6,1,1,3,5,8,10,2,8,10,Sí
66+,Secundaria,4M+,Individual,Mensual,Web,Nunca,No,1,30000,5,3,7,10,7,4,6,6,4,5,7,8,8,5,10,No
66+,Secundaria,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,410000,7,6,7,7,7,1,8,8,7,6,5,3,10,5,10,No
56-65,Universitario,500k-1M,Individual,Mensual,Teletón anual,Nunca,Sí,0,32000,7,7,1,10,6,8,6,9,8,10,9,9,9,6,6,No
36-45,Técnico,<500k,Individual,Mensual,Web,1 vez,No,1,18000,7,10,6,10,9,7,10,6,10,1,10,7,10,9,6,Sí
18-25,Universitario,<500k,Fundación,Trimestral,Otro,2-3 veces,No,9,883000,9,8,5,10,6,1,6,10,8,7,9,4,10,10,7,No
46-55,Secundaria,<500k,Individual,Semestral,Transferencia,Nunca,No,2,114000,9,7,8,1,7,10,7,8,10,8,7,8,10,8,8,Sí
36-45,Técnico,500k-1M,Individual,Anual,Otro,2-3 veces,No,16,30000,6,5,1,9,9,4,4,8,10,9,6,5,10,6,10,Sí
26-35,Universitario,2M-4M,Individual,Trimestral,Transferencia,Nunca,No,18,18000,8,10,7,4,9,1,8,7,10,6,8,6,10,6,8,Sí
36-45,Universitario,500k-1M,Fundación,Anual,Web,Nunca,No,1,798000,8,10,1,10,6,10,3,4,10,1,9,10,10,6,6,No
18-25,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,0,28000,7,10,8,1,10,6,8,6,7,7,7,4,10,5,10,Sí
56-65,Universitario,<500k,Individual,Semestral,Transferencia,Nunca,No,5,47000,9,10,2,8,8,10,8,6,7,10,7,1,10,7,4,Sí
26-35,Postgrado,2M-4M,Individual,Anual,Web,1 vez,Sí,3,250000,8,7,4,10,5,10,10,6,6,8,10,10,4,8,10,No
46-55,Universitario,1M-2M,Individual,Anual,Web,1 vez,No,0,5000,10,9,5,10,8,6,5,8,2,6,9,3,10,8,4,Sí
36-45,Técnico,<500k,Individual,Anual,Web,Nunca,No,6,51000,5,2,7,10,6,8,7,7,4,7,10,5,10,7,10,No
36-45,Secundaria,1M-2M,Individual,Anual,Web,Nunca,No,0,106000,7,5,6,2,8,9,8,9,8,9,5,2,9,7,6,No
36-45,Universitario,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,9,63000,6,7,5,5,7,5,8,6,6,10,6,6,9,7,9,No
