AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,D_1,R_12,C_1,Info,Años,Giro,Puesto,Estado
4,5,3,4,4,4,4,5,3,4,4,4,8,8,4,9,5,Persona física,Persona física,Ciudad de México
4,4,4,2,4,3,3,3,4,3,4,5,7,8,4,10,2,Asociación civil,Coordinador,Durango
4,3,4,4,3,4,3,3,4,3,3,4,8,10,3,10,14,Persona física,Persona física,Guanajuato
5,5,5,5,5,4,5,5,5,5,5,5,10,10,5,8,15,Educación,Coordinador,Guanajuato
3,3,4,4,4,3,2,3,4,4,4,4,7,9,3,7,2,Empresa,Coordinador,Guanajuato
3,4,3,3,4,4,3,4,4,3,4,4,8,9,4,8,3,Educación,Coordinador,Guanajuato
4,4,3,4,5,4,3,3,5,4,3,2,8,8,3,8,3,Educación,Coordinador,Guanajuato
3,2,2,4,3,3,4,3,5,3,2,4,7,9,3,7,18,Educación,Dueño,Coahuila
3,2,3,4,3,4,4,4,3,4,4,3,7,8,4,7,3,Teletón (Grupos internos de la Fundación),Coordinador,Hidalgo
4,3,3,3,4,3,4,4,3,4,4,3,8,8,3,8,8,Educación,Coordinador,Coahuila
4,3,4,4,3,4,5,4,3,4,3,4,7,8,4,8,1,Persona física,Persona física,Estado de México
3,5,4,4,5,4,4,4,3,4,4,4,8,9,4,7,5,Educación,Supervisor,Coahuila
2,4,4,4,3,4,3,4,3,3,3,4,8,8,4,8,2,Empresa,Supervisor,Coahuila
5,4,5,4,4,4,5,4,3,4,4,4,7,9,5,7,4,Educación,Director,Guanajuato
4,3,4,3,3,3,4,4,5,4,3,3,6,8,3,7,2,Empresa,Dueño,Hidalgo
4,4,4,4,3,5,4,3,3,3,3,4,8,9,4,8,4,Empresa,Supervisor,Hidalgo
3,4,3,3,4,2,3,3,4,4,4,3,7,8,3,7,5,Educación,Coordinador,Estado de México
3,3,3,3,2,3,3,2,3,3,4,2,6,9,3,7,2,Persona física,Dueño,Coahuila
2,4,4,3,4,4,3,4,3,3,4,3,6,8,4,7,1,Empresa,Asistente,Guanajuato
2,5,4,5,4,3,4,5,4,4,5,4,9,9,4,9,4,Teletón (Grupos internos de la Fundación),Persona física,Estado de México
3,4,4,3,,3,3,3,4,3,5,3,7,8,3,7,1,Empresa,Coordinador,Ciudad de México
4,2,2,3,3,2,3,4,4,4,4,4,7,8,3,7,5,Educación,Director,Estado de México
4,3,3,3,4,4,3,4,3,4,4,3,7,9,3,7,2,Gubernamental,Persona física,Hidalgo
4,3,4,3,3,4,4,3,4,4,3,4,7,8,4,8,1,Asociación civil,Coordinador,Estado de México
3,4,4,4,4,3,4,5,4,4,4,4,8,8,3,7,7,Persona física,Persona física,Estado de México
2,4,4,3,3,3,3,4,3,3,2,3,7,8,4,7,6,Educación,Director,Estado de México
4,4,4,4,3,3,4,4,4,3,3,4,8,8,4,8,5,Educación,Persona física,Estado de México
3,5,5,4,4,4,5,3,4,4,3,4,8,8,4,5,5,Teletón (Grupos internos de la Fundación),Persona física,Estado de México
2,3,3,3,3,3,4,3,5,4,5,4,7,8,3,7,5,Teletón (Grupos internos de la Fundación),Persona física,Estado de México
